Column Details,Description
ID, Customer Unique Identifier
Year_Birth, Customer Birth Year
Education, Customer education level
Marital_Status, Customer marital status
Income, Customer yearly household income
Kidhome, Number of children in customer household
Teenhome, Number of teenagers in customer household
Dt_Customer, Date of customer enrollment with the company
Recency, Number of days since customer last purchase
MntWines, Amount spent on wine in the last 2 years
MntFruits, Amount spent on fruits in the last 2 years
MntMeatProducts, Amount spent on meat in the last 2 years
MntFishProducts, Amount spent on fish in the last 2 years
MntSweetProducts, Amount spent on sweets in the last 2 years
MntGoldProds, Amount spent on gold in the last 2 years
NumDealsPurchases, Number of purchases made with a discount
NumWebPurchases, Number of purchases made through the company web site
NumCatalogPurchases, Number of purchases made using a catalogue
NumStorePurchases, Number of purchases made directly in stores
NumWebVisitsMonth, Number of visits to company web site in the last month
AcceptedCmp1," 1 if customer accepted the offer in the 1st campaign, 0 otherwise (Target variable)"
AcceptedCmp2," 1 if customer accepted the offer in the 2nd campaign, 0 otherwise (Target variable)"
AcceptedCmp3," 1 if customer accepted the offer in the 3rd campaign, 0 otherwise (Target variable)"
AcceptedCmp4," 1 if customer accepted the offer in the 4th campaign, 0 otherwise (Target variable)"
AcceptedCmp5," 1 if customer accepted the offer in the 5th campaign, 0 otherwise (Target variable)"
Response," 1 if customer accepted the offer in the last campaign, 0 otherwise (Target variable)"
Complain," 1 if customer complained in the last 2 years, 0 otherwise"
Country, Customer location
